# compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol),dG (CgenFF) lrc,std (CgenFF),dG (corrected),Crooks correction,error,Exp,MM-ASFE,MM-ASFE-err,ML-ASFE,ML-ASFE-err
mobley_4587267,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O," (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",-23.62,0.32,-18.16,0.09,-18.14,0.52,-23.96,-6.45,0.49,-23.62,-18.43358562,0.1150062832,-26.1820681,0.586675592
mobley_3210206,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxypropane",-4.95,0.1,-5.65,0.04,-3.59,0.49,-6.68,-3.59,0.41,-4.95,-5.05606933,0.04610711869,-7.848750439,0.8172643004
mobley_3201701,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,pirimor,-9.41,1.93,-13.87,0.04,-12.37,0.16,-14.27,-2.83,0.06,-9.41,-12.00990632,0.04727668823,-12.30325843,0.06060878954
mobley_3259411,C(C(CO)O)O,glycerol,-13.43,1,-10.14,0.04,-11.51,0.07,-13.22,-2.02,0.19,-13.43,-11.2753898,0.0536092035,-12.61695865,0.1245992005
mobley_8057732,c1cc(cc(c1)Cl)O,3-chlorophenol,-6.62,0.6,-5.02,0.03,-5.22,0.04,-6.49,-1.68,0.05,-6.62,-5.797974809,0.03072134608,-6.201853487,0.04777492224
mobley_1944394,CN(C)CCOC(c1ccccc1)c2ccccc2,[2-benzhydryloxyethyl]-dimethyl-amine,-9.34,0.62,-7.87,0.06,-4.69,0.4,-5.28,-1.56,0.12,-9.34,-7.580423411,0.05331764683,-8.809338722,0.1021611763
mobley_2316618,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO," 1-(2-hydroxyethylamino)-9,10-anthraquinone",-14.21,1.1,-13.6,0.05,-13.41,0.54,-13.86,-1.44,0.12,-14.21,-13.77737875,0.06979076436,-15.02081273,0.1586329914
mobley_9257453,c1cc(c(cc1O)Cl)Cl," 3,4-dichlorophenol",-7.29,0.1,-5.14,0.03,-5.53,0.06,-6.37,-1.32,0.06,-7.29,-5.750670951,0.03212584854,-5.863974652,0.04544611642
mobley_8449031,CCN(CC)CC," N,N-diethylethanamine",-3.22,0.6,-1.96,0.03,-1.91,0.37,-2.72,-1.21,0.09,-3.22,-0.4816972907,0.03116636893,-1.966562898,0.04830314706
mobley_2126135,CCc1ccccc1O,2-ethylphenol,-5.66,0.1,-4.77,0.03,-3.55,0.05,-4.27,-1.2,0.06,-5.66,-4.644223313,0.03431908006,-6.175945223,0.1022021249
