"Mol_ID"," SMILES"," iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem)","Exp [kcal/mol]","MM-ASFE [kcal/mol]","MM-ASFE-err [kcal/mol]","ML-ASFE [kcal/mol]","ML-ASFE-err [kcal/mol]","dG (TF)","std (TF)","Crooks result","Crooks correction","Jar result","Jar correction","error"
"mobley_6239320"," c1(=O)[nH]c(=O)[nH]c(=O)[nH]1"," cyanuric acid",-18.06,-21.483,0.037,-21.135,0.051,-30.14,0.08,-30.21,-0.07,-30.2,-0.06,0.02
"mobley_9534740"," C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O"," (2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",-25.47,-19.636,0.058,-27.336,0.351,-15.51,0.4,-21.36,-5.85,-24.74,-9.23,0.96
"mobley_2725215"," CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-]"," nitralin",-7.98,-11.997,0.052,-11.299,0.159,-19.49,0.17,-21.3,-1.81,-21.52,-2.03,0.24
"mobley_8207196"," CCNc1nc(nc(n1)Cl)NCC"," simazine",-10.22,-11.408,0.046,-11.686,0.12,-0.9,0.07,-1.21,-0.31,-1.18,-0.3,0.05
"mobley_2782339"," c1ccc2c(c1)C(=O)NC2=O"," phthalimide",-9.61,-11.754,0.035,-11.352,0.043,-19.08,0.12,-18.76,0.32,-18.76,0.32,0.01
"mobley_2481002"," C([N+](=O)[O-])(Cl)(Cl)Cl"," trichloro(nitro)methane",-1.45,-0.211,0.024,-0.363,0.03,-10.49,0.07,-10.46,0.03,-8.93,0.18,0.02
"mobley_4587267"," C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O"," (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",-23.62,-18.434,0.115,-26.182,0.587,-18.14,0.52,-24.59,-6.45,-22.14,-4,0.56
"mobley_1896013"," C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O"," (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",-20.52,-15.862,0.048,-18.869,0.24,-15.01,0.19,-17.57,-2.56,-17.33,-2.32,0.2
"mobley_4613090"," c1ccc(cc1)Cn2ccnc2"," 1-benzylimidazole",-7.63,-8.399,0.035,-8.12,0.049,-14.21,0.05,-14.03,0.18,-14.01,0.2,0.03
"mobley_1944394"," CN(C)CCOC(c1ccccc1)c2ccccc2"," [2-benzhydryloxyethyl]-dimethyl-amine",-9.34,-7.58,0.053,-8.809,0.102,-4.69,0.4,-6.25,-1.56,-5.39,-0.7,0.2
"mobley_9565165"," c1ccc-2c(c1)Cc3c2cccc3"," 9H-fluorene",-3.35,-4.64,0.035,-4.633,0.038,-9.23,0.05,-9.27,-0.04,-9.3,-0.07,0.02
"mobley_3047364"," CCNc1nc(nc(n1)SC)NC(C)C"," 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-7.65,-10.877,0.049,-11.346,0.083,-3.55,0.17,-3.62,-0.07,-3.58,-0.03,0.05
"mobley_1728386"," c1ccc(cc1)C(=O)N"," benzamide",-11,-10.353,0.033,-10.424,0.04,-6.57,0.02,-7.14,-0.57,-7.14,-0.57,0.02
"mobley_2078467"," C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O"," ibuprofen",-7,-7.553,0.043,-7.683,0.055,-3.24,0.13,-3.34,-0.1,-3.29,-0.05,0.04
"mobley_8426916"," CCNCC"," N-ethylethanamine",-4.07,-2.131,0.027,-2.655,0.032,0.03,0.1,-0.37,-0.4,-0.62,-0.65,0.18
"mobley_6338073"," CCNc1nc(nc(n1)SC)NC(C)(C)C"," terbutryn",-6.68,-11.279,0.05,-10.696,0.109,-3.33,0.11,-3.54,-0.21,-3.72,-0.39,0.04
"mobley_5094777"," c1ccc2c(c1)CCC2"," indane",-1.46,-1.704,0.031,-1.663,0.033,-6.13,0.05,-6.07,0.06,-6.08,0.05,0.02
"mobley_9557440"," c1c(c(=O)[nH]c(=O)[nH]1)Cl"," 5-chlorouracil",-17.74,-16.544,0.035,-16.442,0.041,-14.1,0.02,-14.55,-0.45,-14.63,-0.47,0.01
"mobley_2501588"," CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]"," profluralin",-2.45,-2.213,0.048,-2.345,0.159,-7.46,0.21,-8.59,-1.13,-8.77,-1.31,0.14
"mobley_1963873"," CC(=O)NC"," N-methylacetamide",-10,-7.662,0.028,-7.474,0.03,-6.45,0.08,-6.4,0.05,-6.39,0.06,0.01
"mobley_4013838"," CC(C)C(=O)C(C)C"," 2,4-dimethylpentan-3-one",-2.74,-2.539,0.032,-2.468,0.036,-6.7,0.05,-6.7,0,-6.7,0,0.03
"mobley_2269032"," C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O"," naproxen",-10.21,-12.183,0.043,-12.475,0.064,-7.6,0.48,-7.59,0.01,-7.61,-0.01,0.06
"mobley_8705848"," CC(C)NC(C)C"," N-isopropylpropan-2-amine",-3.22,-1.156,0.031,-1.829,0.035,-0.13,0.3,-1.23,-1.1,-2.34,-2.21,0.03
"mobley_6248915"," CCCCCCCCN"," octan-1-amine",-3.65,-1.976,0.037,-2.504,0.061,-0.68,0.02,-1.17,-0.49,-1.1,-0.42,0.08
"mobley_6060301"," CCCCCCN"," hexan-1-amine",-3.95,-2.442,0.033,-2.973,0.049,-0.92,0.08,-1.32,-0.4,-1.43,-0.51,0.09
"mobley_718988"," CCCCCCCN"," heptan-1-amine",-3.79,-2.315,0.035,-2.85,0.066,-0.82,0.08,-1.34,-0.52,-1.49,-0.67,0.08
"mobley_6917738"," COCCN"," 2-methoxyethanamine",-6.55,-5.199,0.045,-6.115,0.057,-3.38,0.08,-4.73,-1.35,-4.9,-1.52,0.22
"mobley_1723043"," C1(C(C(C1(F)F)(F)F)(F)F)(F)F"," octafluorocyclobutane",3.43,2.42,0.027,2.361,0.044,-0.37,0.13,-0.16,0.21,-0.14,0.23,0.04
"mobley_9185328"," CCCN"," propan-1-amine",-4.39,-2.623,0.026,-3.223,0.04,-1.26,0.03,-1.79,-0.53,-1.61,-0.35,0.07
"mobley_1952272"," C[N+](=O)[O-]"," nitromethane",-4.02,-2.37,0.02,-2.274,0.023,-7.57,0.12,-7.64,-0.07,-7.64,-0.07,0.02
"mobley_7142697"," CCCCCN"," pentan-1-amine",-4.09,-2.298,0.031,-2.778,0.063,-1.07,0.05,-1.61,-0.54,-1.81,-0.74,0.07
"mobley_2410897"," CCN"," ethanamine",-4.5,-2.776,0.023,-3.447,0.029,-1.34,0.02,-1.86,-0.52,-1.83,-0.49,0.03
"mobley_6082662"," c1cc(ccc1N)N(=O)=O"," 4-nitroaniline",-9.82,-9.59,0.032,-10.359,0.035,-7.06,0.1,-7.6,-0.54,-7.59,-0.53,0.02
"mobley_5076071"," CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]"," 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",-5.66,-8.399,0.047,-8.326,0.089,-9.96,0.18,-10.93,-0.97,-11.29,-1.33,0.16
"mobley_9733743"," CCCCN"," butan-1-amine",-4.24,-2.51,0.028,-3.019,0.051,-1.27,0.02,-1.76,-0.49,-1.6,-0.33,0.08
"mobley_2725802"," CC(=O)N1CCCC1"," 1-pyrrolidin-1-ylethanone",-9.8,-7.036,0.032,-6.876,0.034,-7.11,0.08,-6.95,0.16,-6.95,0.16,0.01
"mobley_2751110"," c1cc(ccc1[N+](=O)[O-])O"," 4-nitrophenol",-10.64,-8.892,0.033,-8.72,0.037,-7.99,0.02,-8.1,-0.11,-8.09,-0.1,0.03
"mobley_7829570"," CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]"," N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",-3.51,-2.138,0.046,-2.546,0.149,-7.71,0.33,-8.94,-1.23,-8.84,-1.13,0.23
"mobley_7176248"," CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]"," trifluralin",-3.25,-2.093,0.045,-2.322,0.15,-7.42,0.19,-8.43,-1.01,-8.07,-0.65,0.24
"mobley_1527293"," C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O"," flurbiprofen",-8.42,-10.009,0.044,-10.242,0.051,-6.26,0.13,-6.37,-0.11,-6.33,-0.07,0.04
"mobley_9974966"," CC(C)SC(C)C"," 2-isopropylsulfanylpropane",-1.21,0.151,0.031,0.065,0.034,1.35,0.12,1.25,-0.1,1.25,-0.1,0.02
"mobley_1708457"," CS(=O)(=O)C"," methylsulfonylmethane",-10.08,-11.305,0.031,-9.755,0.033,-13.38,0.11,-13.43,-0.05,-13.44,-0.06,0.01
"mobley_3968043"," C1CCC(=O)C1"," cyclopentanone",-4.7,-3.419,0.028,-3.145,0.03,-2.05,0.04,-1.87,0.18,-1.86,0.19,0.01
"mobley_7860938"," CCCCNCCCC"," N-butylbutan-1-amine",-3.24,-1.406,0.038,-1.455,0.068,-0.91,0.13,-1.24,-0.33,-0.8,0.11,0.26
"mobley_2958326"," CCCNCCC"," N-propylpropan-1-amine",-3.65,-1.558,0.034,-1.889,0.047,-1.21,0.09,-2.01,-0.8,-2.11,-0.9,0.24
"mobley_5347550"," COC(C(Cl)Cl)(F)F"," 2,2-dichloro-1,1-difluoro-1-methoxy-ethane",-1.12,-0.638,0.03,-0.659,0.038,-4.32,0.13,-4.47,-0.15,-4.04,-0.03,0.04
"mobley_2023925"," [C@@H](C(F)(F)F)(OC(F)F)Cl"," 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",0.1,-0.991,0.031,-0.593,0.078,-3,0.16,-3.78,-0.78,-3.65,-0.8,0.05
"mobley_6266306"," C1CNC1"," azetidine",-5.56,-4.232,0.024,-3.989,0.031,-3.1,0.02,-3.44,-0.34,-3.47,-0.37,0.02
"mobley_3515580"," COc1ccccc1O"," 2-methoxyphenol",-5.94,-5.089,0.041,-4.925,0.045,-3.74,0.52,-4.8,-1.06,-4.76,-1.02,0.05
"mobley_6201330"," CCCOC(=O)c1ccc(cc1)O"," propyl paraben",-9.37,-9.808,0.04,-9.486,0.044,-7.4,0.13,-7.76,-0.36,-7.72,-0.32,0.04
"mobley_7794077"," c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F"," 5-trifluoromethyluracil",-15.46,-17.375,0.037,-17.455,0.046,-13.41,0.01,-13.6,-0.19,-13.6,-0.19,0.02
"mobley_2126135"," CCc1ccccc1O"," 2-ethylphenol",-5.66,-4.644,0.034,-6.176,0.102,-3.55,0.05,-4.75,-1.2,-4.76,-1.21,0.11
"mobley_9201263"," COS(=O)(=O)C"," methyl methanesulfonate",-4.87,-7.77,0.03,-7.743,0.046,-7.78,0.07,-7.89,-0.11,-7.89,-0.11,0.02
"mobley_6309289"," C1CCNCC1"," piperidine",-5.11,-3.024,0.028,-3.244,0.031,-2.87,0.08,-2.37,0.5,-2.71,0.16,0.05
