# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol),dG (TF),std (TF),diff (TF vs exp),diff (GAFF vs exp),dG (Brooks),diff (Brooks vs TF),,,,,,,RMSE(Brooks vs TF),RMSE (TF vs exp)
mobley_3034976, CC(=O)O, acetic acid,-6.69,0.6,-7.28,0.02,-4.75,0.2,1.94,0.59,-9.46,4.71,,,Deviation to Brooks > 2 kcal/mol,,,,22.18,3.76
mobley_1396156, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O, pentachloronitrobenzene,-5.22,0.25,-1.28,0.04,-5.4,0.08,0.18,3.94,-9.563333,4.163333,,XXX,Either TF or Brooks is closer to result,,,,17.33,0.03
mobley_1735893, CCCCCC(=O)O, hexanoic acid,-6.21,0.6,-7.88,0.03,-4.48,0.24,1.73,1.67,-8.436667,3.956667,,XXX,PERT Reference calculation (Stefan),,,,15.66,2.99
mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-3.04,0.1,-1.08,0.04,-3.01,0.13,0.03,1.96,-6.823333,3.813333,,,,,,,14.54,0.00
mobley_5200358, CC(C)(/C=N\OC(=O)NC)SC, aldicarb,-9.84,0.1,-9.68,0.05,-10.32,1.51,0.48,0.16,-14.093333,3.773333,,,,,,,14.24,0.23
mobley_3274817, CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]," 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",-6.23,1.93,-5.38,0.04,-7.83,0.08,1.60,0.85,-11.13,3.3,,,,,,,10.89,2.56
mobley_6522117, CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl," 2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",-7.07,1.37,-9.03,0.05,-6.63,0.1,0.44,1.96,-9.9,3.27,,,,,,,10.69,0.19
mobley_3201701, Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C, pirimor,-9.41,1.93,-13.87,0.04,-11.44,0.16,2.03,4.46,-14.303333,2.863333,,,,,,,8.20,4.12
mobley_4936555, Cc1cccc(c1C)Nc2ccccc2C(=O)O," 2-(2,3-dimethylphenyl)aminobenzoic acid",-6.78,0.1,-7.67,0.04,-5.85,0.11,0.93,0.89,-8.673333,2.823333,,,,,,,7.97,0.86
mobley_6338073, CCNc1nc(nc(n1)SC)NC(C)(C)C, terbutryn,-6.68,0.42,-9.27,0.04,-2.44,0.11,4.24,2.59,-5.173333,2.733333,,,,,,,7.47,17.98
