,"Mol_ID","Exp [kcal/mol]","MM-ASFE [kcal/mol]","MM-ASFE-err [kcal/mol]","ML-ASFE [kcal/mol]","ML-ASFE-err [kcal/mol]","solvent_dG","solvent_dG_err","solvent_dG_std","vac_dG","vac_dG_err","vac_dG_std"
0,"mobley_1743409",-5.71,-7.609039044,0.05866959766,-7.870574669,0.08005030247,-382771.8923,0.04139169723,0.7368835205,-382771.6307,0.03539288961,0.4576166791
1,"mobley_9979854",-4.2,-3.861012255,0.03134896154,-4.460899947,0.03868656052,-306710.2738,0.01904106388,0.3786319245,-306709.674,0.01230164467,0.27276659
2,"mobley_1873346",-0.9,-0.7986286894,0.02709888943,-0.8147065606,0.03061337183,-169252.2973,0.008621500751,0.1432221289,-169252.2812,0.01133571572,0.1675606648
3,"mobley_4715906",1.58,1.764544624,0.02973735297,1.821627065,0.03185120652,-196047.1061,0.007996465767,0.1689494979,-196047.1631,0.00813914803,0.1671846776
4,"mobley_3169935",-4.91,-5.328289131,0.02886874139,-6.072863865,0.03328847673,-465705.7102,0.01295149591,0.2160914594,-465704.9657,0.01034297865,0.1775725601
5,"mobley_9729792",-0.99,-0.2123621558,0.02626425399,-0.599655253,0.04868886797,-169225.911,0.02919662944,0.3575904243,-169225.5237,0.02878109893,0.3846746889
6,"mobley_6358463",1.07,-1.440927166,0.03214130988,-1.699060492,0.03770509797,-564885.8353,0.01342977719,0.29715203,-564885.5771,0.01443092849,0.329683454
7,"mobley_2845466",-3.37,-3.12953373,0.03795796185,-3.248608845,0.04488431309,-1527646.511,0.01646908078,0.2619496392,-1527646.391,0.01739436898,0.2768932556
8,"mobley_6006813",-3.09,-1.54006321,0.02743431959,-1.441598825,0.07228396744,-226264.6808,0.04850576538,0.7593399211,-226264.7793,0.04603825347,0.7754516105
9,"mobley_5445548",-0.3,-0.6198368689,0.03092239102,-0.6559323991,0.03410839775,-218262.5993,0.00986374643,0.2041717126,-218262.5632,0.01048308337,0.2118701383
10,"mobley_3802803",-1.66,-1.282126501,0.03383272135,-1.431055829,0.1137336516,-322130.52,0.08147663309,0.9359689336,-322130.3711,0.07177916648,0.838746583
11,"mobley_9028462",-1.1,-1.062857545,0.026932919,-1.184472702,0.03124432883,-352850.7283,0.01067626583,0.194842504,-352850.6067,0.01169800437,0.210890024
12,"mobley_4305650",-3.84,-2.535489237,0.02284328934,-2.480073708,0.02437360396,-107233.4191,0.005811499583,0.133391143,-107233.4745,0.006203480877,0.1411712133
13,"mobley_1838110",1.77,1.743505286,0.02497027484,1.692424892,0.0396702002,-1094714.757,0.01659485133,0.2958013513,-1094714.706,0.02597731833,0.4203376039
14,"mobley_1722522",-2.49,-2.915808622,0.03405909172,-2.761299881,0.07056200481,-240771.3697,0.05162390875,0.6150923631,-240771.5242,0.03396979304,0.5807371549
15,"mobley_7610437",-3.88,-2.555535659,0.03241115327,-2.977464019,0.04599955525,-194646.455,0.0269490227,0.4951626655,-194646.0331,0.01841809987,0.3369489113
16,"mobley_1893937",0,1.295361613,0.03062185103,1.296650116,0.04361600516,-434253.025,0.02471570843,0.4207357593,-434253.0263,0.01880935679,0.3683540327
17,"mobley_9209581",-3.2,-1.921886871,0.02443660032,-2.763858461,0.02961745939,-108749.3744,0.01023727837,0.1674410251,-108748.5324,0.01323799824,0.24672308
18,"mobley_6266306",-5.56,-4.232115529,0.02392251576,-3.988968067,0.03064229061,-108023.3794,0.01336270447,0.2845473695,-108023.6225,0.01371500431,0.2610668809
19,"mobley_667278",-4.4,-1.486191462,0.04195086108,-1.62487171,0.04762728575,-2294080.228,0.01652137689,0.2916588861,-2294080.089,0.015346912,0.2638944317
20,"mobley_8311303",-4.38,-1.449004023,0.03976966943,-1.476208036,0.04442290857,-2007608.174,0.01503905722,0.3328571151,-2007608.146,0.01286837041,0.2692047668
21,"mobley_352111",-6.34,-7.893510552,0.03903356023,-7.783213591,0.06080127888,-333754.3883,0.02682671142,0.4575796806,-333754.4986,0.03812485074,0.5180831142
22,"mobley_967099",-3.13,-1.580889369,0.02598570567,-1.601050128,0.03310888702,-201765.7455,0.01363580708,0.2634645711,-201765.7254,0.0153299141,0.2756867081
23,"mobley_2693089",-5.04,-5.632171123,0.03421062821,-5.393351845,0.04034116327,-262807.7112,0.01510152825,0.2860611493,-262807.95,0.01513229053,0.2837862145
24,"mobley_4964807",-5.99,-5.183452205,0.03003396803,-7.266645876,0.1534632681,-294727.3711,0.1257963419,1.337450838,-294725.2879,0.08260881193,0.9304787323
25,"mobley_4188615",-9.29,-8.062403243,0.03498139875,-7.800332947,0.0376138295,-298897.9012,0.01038959226,0.2243195849,-298898.1632,0.009119116377,0.1897720354
26,"mobley_9565165",-3.35,-4.640243787,0.03469648711,-4.632665233,0.03754623564,-312532.1029,0.009644610778,0.2100164201,-312532.1105,0.01062332697,0.2352241149
27,"mobley_242480",-11.85,-16.00263662,0.04281947199,-16.87068921,0.05018834095,-498258.6458,0.0214772325,0.3136559706,-498257.7777,0.01496966501,0.2537930263
28,"mobley_9717937",-2.69,-2.993564483,0.03445547695,-2.905413069,0.03862597613,-575240.3544,0.01209832357,0.2042170896,-575240.4425,0.0125863699,0.2091781896
29,"mobley_9201263",-4.87,-7.769645156,0.03009695689,-7.742917428,0.04616121662,-438473.7062,0.02848236875,0.4784158572,-438473.733,0.020341725,0.3168277055
30,"mobley_2923700",-6.13,-5.853617942,0.03283510339,-5.792949896,0.03699508378,-240615.9898,0.01149492843,0.1937356398,-240616.0505,0.01258407047,0.2009780391
31,"mobley_819018",-4.45,-3.139151986,0.03847566414,-3.142460861,0.09670070509,-291113.8726,0.06077419262,0.5986218013,-291113.8693,0.06463085289,0.612578695
32,"mobley_3709920",2.06,3.123152091,0.0336998375,3.127230937,0.05996356134,-220515.9953,0.03607398574,0.5009783205,-220515.9994,0.03403846637,0.467790344
33,"mobley_6416775",2.13,2.175825951,0.03025253882,2.268967259,0.04038755382,-196044.2322,0.02208440413,0.25558561,-196044.3254,0.01510686908,0.2287204041
34,"mobley_2489709",-1.36,-0.8054076622,0.02739731363,-0.8409208512,0.02949874063,-717699.9889,0.007446668759,0.1663210951,-717699.9533,0.008006873859,0.1756330485
35,"mobley_52782",-5.73,-5.20443529,0.03325386666,-11.93964076,0.7025347717,-398473.0186,0.5554423418,2.136600264,-398466.2834,0.4288742131,1.47576714
36,"mobley_2972906",-1.4,-0.4023515619,0.02324585171,-0.4450811859,0.02838678177,-344688.8545,0.01119102217,0.1916373134,-344688.8118,0.01184064103,0.1919191001
37,"mobley_6620221",-9.61,-11.24894068,0.04283880667,-11.01154136,0.0496326023,-465399.2892,0.01690717869,0.5800177926,-465399.5266,0.01850349057,1.449008845
38,"mobley_8668219",2.52,2.719980769,0.0291423804,2.732521061,0.03209804363,-172284.2127,0.009234001907,0.1838915975,-172284.2253,0.009784645033,0.2029805953
39,"mobley_632905",-4.4,-6.68281389,0.0347074269,-6.683404276,0.03936478315,-311243.8126,0.01260930896,0.2830322307,-311243.812,0.01363766834,0.2867330943
40,"mobley_1987439",-0.9,-0.6177782267,0.03208813035,-0.5979649972,0.03423080787,-218258.5596,0.008066971291,0.1714293162,-218258.5794,0.008776335933,0.1844333955
41,"mobley_6091882",1.28,2.35744839,0.01670181145,2.301688391,0.0197259774,-48977.34247,0.007663741178,0.1438597347,-48977.28671,0.007171523533,0.1302046215
42,"mobley_5880265",-6.25,-4.302876748,0.03701362699,-4.940396609,0.0615332292,-241521.8516,0.04380248891,0.6006914299,-241521.214,0.02230855616,0.3274604709
43,"mobley_3167746",2.88,3.177663917,0.03176338605,3.302009265,0.05378122153,-196787.2116,0.02989978905,0.4688788036,-196787.336,0.03145647327,0.4427950956
44,"mobley_5079234",-4.21,-2.983843811,0.03354044578,-3.030521048,0.06464339884,-219149.4036,0.04489271332,0.5835796283,-219149.3569,0.03222501824,0.5051961689
45,"mobley_4434915",-0.55,0.7950069615,0.01740304908,0.8065171982,0.01835039931,-311721.6935,0.004523628477,0.1062213631,-311721.705,0.003661669422,0.08717342132
46,"mobley_7690440",-1.83,-0.6838550506,0.02495758508,-0.5850709622,0.02848440899,-546138.1421,0.008864074635,0.1554368738,-546138.2409,0.01048373422,0.1864772142
47,"mobley_718988",-3.79,-2.315174228,0.03543944008,-2.849980611,0.06556893706,-206769.6844,0.02841869267,0.509253283,-206769.1496,0.04728328986,0.4986602003
48,"mobley_3211679",0.14,1.284651115,0.0253722121,1.276288803,0.02715796269,-146256.0452,0.006896974588,0.1511296719,-146256.0368,0.006799818546,0.1447485609
49,"mobley_5471704",-2.21,-2.849675375,0.03568743829,-2.701274476,0.04038637217,-265268.3033,0.01369634412,0.2821312042,-265268.4517,0.01303364733,0.2761213777
50,"mobley_3686115",-3.28,-1.286746638,0.03652217341,-1.819483185,0.06384622981,-241498.8398,0.02988491754,0.5520739116,-241498.307,0.04300422787,0.4107132778
51,"mobley_9897248",-4.78,-3.020103815,0.03875599645,-2.974436587,0.157476919,-291115.6736,0.1447347274,0.6529930596,-291115.7192,0.04846453803,0.704486073
52,"mobley_951560",-7.4,-9.114288325,0.03171383313,-9.367868761,0.03489527691,-167045.7774,0.01032613872,0.1647545242,-167045.5238,0.0102607991,0.167608882
53,"mobley_902954",-2.09,-1.550953006,0.02966547951,-1.504024472,0.08315872438,-273119.012,0.05983793354,0.7921755859,-273119.0589,0.04954547887,0.8938371584
54,"mobley_6812653",2.48,2.883474984,0.02822276595,2.96715292,0.04015099998,-147775.6152,0.0179115478,0.3731540466,-147775.6989,0.02224308289,0.3790363524
55,"mobley_5616693",-2.53,-3.015190181,0.03577147494,-2.88805132,0.03971392859,-291176.67,0.01194175199,0.2459499846,-291176.7971,0.01244958892,0.2485459184
56,"mobley_7859387",-2.67,-2.400997104,0.03333479129,-2.146652375,0.06194632662,-218393.9655,0.03769474659,0.561305751,-218394.2198,0.03612817669,0.5495002128
57,"mobley_5692472",-4.29,-2.522143259,0.02232940573,-2.983778611,0.02533615199,-84245.47365,0.008293784559,0.1365721025,-84245.01201,0.008633155586,0.1341279647
